,Sentence1,Sentence2,Pair_ID,Sense1,Sense2,Verb,PairType
0,The boy abused the substance.,The company abused the power.,abuse0,substance abuse,power abuse,abuse,different
1,The boy abused the substance.,The company abused the taxpayers.,abuse1,substance abuse,financial abuse,abuse,different
2,The company abused the taxpayers.,The teacher abused the student.,abuse10,financial abuse,sexual abuse,abuse,different
3,The company abused the taxpayers.,The wife abused the children.,abuse11,financial abuse,physical abuse,abuse,different
4,The father abused the child.,The teacher abused the student.,abuse12,emotional abuse,sexual abuse,abuse,different
5,The father abused the child.,The wife abused the children.,abuse13,emotional abuse,physical abuse,abuse,different
6,The teacher abused the student.,The wife abused the children.,abuse14,sexual abuse,physical abuse,abuse,different
7,The boy abused the substance.,The person abused the prescription.,abuse15,substance abuse,substance abuse,abuse,same
8,The company abused the funds.,The company abused the taxpayers.,abuse16,financial abuse,financial abuse,abuse,same
9,The company abused the power.,The police abused the power.,abuse17,power abuse,power abuse,abuse,same
10,The father abused the child.,The husband abused the wife.,abuse18,emotional abuse,emotional abuse,abuse,same
11,The man abused the girl.,The teacher abused the student.,abuse19,sexual abuse,sexual abuse,abuse,same
12,The boy abused the substance.,The father abused the child.,abuse2,substance abuse,emotional abuse,abuse,different
13,The man abused the woman.,The wife abused the children.,abuse20,physical abuse,physical abuse,abuse,same
14,The boy abused the substance.,The teacher abused the student.,abuse3,substance abuse,sexual abuse,abuse,different
15,The boy abused the substance.,The wife abused the children.,abuse4,substance abuse,physical abuse,abuse,different
16,The company abused the power.,The company abused the taxpayers.,abuse5,power abuse,financial abuse,abuse,different
17,The company abused the power.,The father abused the child.,abuse6,power abuse,emotional abuse,abuse,different
18,The company abused the power.,The teacher abused the student.,abuse7,power abuse,sexual abuse,abuse,different
19,The company abused the power.,The wife abused the children.,abuse8,power abuse,physical abuse,abuse,different
20,The company abused the taxpayers.,The father abused the child.,abuse9,financial abuse,emotional abuse,abuse,different
21,The committee allowed the proposal.,The manager allowed the employees.,allow0,to give permission or approval for something to happen or be done,to give permission or approval for something to happen or be done,allow,same
22,The board approved the proposal.,The committee approved the plan.,approve0,to endorse or support something,to be satisfied with something,approve,different
23,The board approved the proposal.,The council approved the plans.,approve1,to endorse or support something,to accept or ratify a decision or action,approve,different
24,The board approved the proposal.,The court approved the merger.,approve2,to endorse or support something,to officially sanction or ratify something,approve,different
25,The committee approved the plan.,The council approved the plans.,approve3,to be satisfied with something,to accept or ratify a decision or action,approve,different
26,The committee approved the plan.,The court approved the merger.,approve4,to be satisfied with something,to officially sanction or ratify something,approve,different
27,The council approved the plans.,The court approved the merger.,approve5,to accept or ratify a decision or action,to officially sanction or ratify something,approve,different
28,The board approved the plan.,The council approved the plans.,approve6,to accept or ratify a decision or action,to accept or ratify a decision or action,approve,same
29,The board approved the proposal.,The jury approved the verdict.,approve7,to endorse or support something,to endorse or support something,approve,same
30,The committee approved the plan.,The president approved the candidate.,approve8,to be satisfied with something,to be satisfied with something,approve,same
31,The court approved the merger.,The government approved the proposal.,approve9,to officially sanction or ratify something,to officially sanction or ratify something,approve,same
32,The bully beat the newcomer.,The man beat the woman.,beat0,intimidate,physically harm,beat,different
33,The bully beat the newcomer.,The police beat the suspects.,beat1,intimidate,overpower,beat,different
34,The police beat the suspects.,The team beat the rival.,beat10,overpower,conquer,beat,different
35,The police beat the suspects.,The train beat the busload.,beat11,overpower,exhaust,beat,different
36,The team beat the opposition.,The team beat the rival.,beat12,defeat,conquer,beat,different
37,The team beat the opposition.,The train beat the busload.,beat13,defeat,exhaust,beat,different
38,The team beat the rival.,The train beat the busload.,beat14,conquer,exhaust,beat,different
39,The bully beat the newcomer.,The teacher beat the student.,beat15,intimidate,intimidate,beat,same
40,The challenger beat the champion.,The police beat the suspects.,beat16,overpower,overpower,beat,same
41,The man beat the dog.,The man beat the woman.,beat17,physically harm,physically harm,beat,same
42,The road beat the managers.,The train beat the busload.,beat18,exhaust,exhaust,beat,same
43,The team beat the opponent.,The team beat the rival.,beat19,conquer,conquer,beat,same
44,The bully beat the newcomer.,The team beat the opposition.,beat2,intimidate,defeat,beat,different
45,The team beat the opposition.,The team beat the otherteam.,beat20,defeat,defeat,beat,same
46,The bully beat the newcomer.,The team beat the rival.,beat3,intimidate,conquer,beat,different
47,The bully beat the newcomer.,The train beat the busload.,beat4,intimidate,exhaust,beat,different
48,The man beat the woman.,The police beat the suspects.,beat5,physically harm,overpower,beat,different
49,The man beat the woman.,The team beat the opposition.,beat6,physically harm,defeat,beat,different
50,The man beat the woman.,The team beat the rival.,beat7,physically harm,conquer,beat,different
51,The man beat the woman.,The train beat the busload.,beat8,physically harm,exhaust,beat,different
52,The police beat the suspects.,The team beat the opposition.,beat9,overpower,defeat,beat,different
53,The belt belted the suitcase.,The belts belted the pants.,belt0,fasten,tighten,belt,different
54,The belt belted the suitcase.,The coastline belted the island.,belt1,fasten,surround,belt,different
55,The baseball belted the wall.,The referee belted the boxer.,belt10,strike,strike,belt,same
56,The belt belted the coat.,The belts belted the pants.,belt11,tighten,tighten,belt,same
57,The belt belted the suitcase.,The beltline belted the carpenter.,belt12,fasten,fasten,belt,same
58,The coastline belted the city.,The coastline belted the island.,belt13,surround,surround,belt,same
59,The team belted the game.,The team belted the tournament.,belt14,win,win,belt,same
60,The belt belted the suitcase.,The referee belted the boxer.,belt2,fasten,strike,belt,different
61,The belt belted the suitcase.,The team belted the game.,belt3,fasten,win,belt,different
62,The belts belted the pants.,The coastline belted the island.,belt4,tighten,surround,belt,different
63,The belts belted the pants.,The referee belted the boxer.,belt5,tighten,strike,belt,different
64,The belts belted the pants.,The team belted the game.,belt6,tighten,win,belt,different
65,The coastline belted the island.,The referee belted the boxer.,belt7,surround,strike,belt,different
66,The coastline belted the island.,The team belted the game.,belt8,surround,win,belt,different
67,The referee belted the boxer.,The team belted the game.,belt9,strike,win,belt,different
68,The bookshelf boxed the books.,The bookstore boxed the books.,box0,to pack or contain something in a box,to pack or contain something in a box,box,same
69,The film broke the boxoffice.,The glass broke the windowpanes.,break0,to exhaust or deplete,to shatter or shake apart,break,different
70,The film broke the boxoffice.,The ice broke the boat.,break1,to exhaust or deplete,to cause to separate or divide,break,different
71,The ice broke the boat.,The lawsuit broke the company.,break10,to cause to separate or divide,to change or alter,break,different
72,The ice broke the boat.,The rain broke the silence.,break11,to cause to separate or divide,to interrupt or disrupt,break,different
73,The lawbreakers broke the law.,The lawsuit broke the company.,break12,to violate or disobey,to change or alter,break,different
74,The lawbreakers broke the law.,The rain broke the silence.,break13,to violate or disobey,to interrupt or disrupt,break,different
75,The lawsuit broke the company.,The rain broke the silence.,break14,to change or alter,to interrupt or disrupt,break,different
76,The film broke the boxoffice.,The meeting broke the chairman.,break15,to exhaust or deplete,to exhaust or deplete,break,same
77,The glass broke the windowpanes.,The vase broke the momentary.,break16,to shatter or shake apart,to shatter or shake apart,break,same
78,The ice broke the boat.,The wind broke the waves.,break17,to cause to separate or divide,to cause to separate or divide,break,same
79,The law broke the monopoly.,The lawsuit broke the company.,break18,to change or alter,to change or alter,break,same
80,The lawbreakers broke the law.,The teacher broke the rule.,break19,to violate or disobey,to violate or disobey,break,same
81,The film broke the boxoffice.,The lawbreakers broke the law.,break2,to exhaust or deplete,to violate or disobey,break,different
82,The news broke the silence.,The rain broke the silence.,break20,to interrupt or disrupt,to interrupt or disrupt,break,same
83,The film broke the boxoffice.,The lawsuit broke the company.,break3,to exhaust or deplete,to change or alter,break,different
