,verb,sense_id,sense,sentence_id,sentence,seed,surprisal,temp
0,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",abuse.01_1,the man abused the horse ,42.0,27.438953399658203,0.8
1,abuse,abuse.02,use (something) to bad effect or for a bad purpose,abuse.02_1,the teacher abused the students ,42.0,42.40492248535156,0.8
2,abuse,abuse.03,use offending language,abuse.03_1,the man abused the child ,42.0,27.434776306152344,0.8
3,insult,insult.01,"call names, disparaging",insult.01_1,the man insulted the waitresses ,42.0,32.2805061340332,0.8
4,allow,allow.01,let,allow.01_1,the teacher allowed the student ,42.0,38.87147903442383,0.8
5,allow,allow.02,allocate,allow.02_1,the company allowed the workers ,42.0,39.45055389404297,0.8
6,allow,allow.03,admit truth of proposition,allow.03_1,the statement allowed the conclusion ,42.0,91.5020980834961,0.8
7,approve,approve.01,assent to,approve.01_1,the board approved the plans ,42.0,26.606657028198242,0.8
8,beat,beat.01,strike,beat.01_1,the policeman beat the suspects ,42.0,31.09479522705078,0.8
9,beat,beat.02,(cause) pulsating motion that often makes sound,beat.02_1,the waves beat the shoreline ,42.0,31.523082733154297,0.8
10,beat,beat.03,win over some competitor,beat.03_1,the team beat the rival ,42.0,34.06794357299805,0.8
11,slap,slap.01,hit with a flat object,slap.01_1,the man slapped the door ,42.0,27.110803604125977,0.8
12,belt,belt.01,sing loudly and forcefully,belt.01_1,the choir belted the song ,42.0,29.468225479125977,0.8
13,belt,belt.02,"deliver a blow to, possibly with a belt",belt.02_1,the man belted the other ,42.0,29.752744674682617,0.8
14,belt,belt.03,fasten with a belt,belt.03_1,the belts belted the pants ,42.0,35.19239807128906,0.8
15,button,button.01,fasten the buttons on,button.01_1,the children buttoned the coats ,42.0,31.50592803955078,0.8
16,break,break.01,"break, cause to not be whole",break.01_1,the window broke the glasses ,42.0,31.916231155395508,0.8
17,break,break.13,"happen, come to light, onset, beginning",break.13_1,the scandal broke the otherday ,42.0,37.711669921875,0.8
18,break,break.16,separate one entity from another,break.16_1,the glass broke the bottle ,42.0,28.556005477905273,0.8
19,break,break.18,"violate (the law, an oath, trust, etc)",break.18_1,the politician broke the rules ,42.0,30.679317474365234,0.8
20,burn,burn.01,(cause to) be on fire,burn.01_1,the fire burned the house ,42.0,25.126758575439453,0.8
21,box,box.01,"to store in a box, put in a box to store",box.01_1,the books boxed the tabletops ,42.0,41.546417236328125,0.8
22,box,box.02,"enclosing (/being enclosed), forming an enclosure",box.02_1,the boxing boxed the mouse ,42.0,61.440765380859375,0.8
23,box,box.03,"fight, boxing style",box.03_1,the boxer boxed the opponent ,42.0,26.423847198486328,0.8
24,fight,fight.01,fight,fight.01_1,the two fought the whole ,42.0,62.41975784301758,0.8
25,build,build.01,construct,build.01_1,the company built the bridge ,42.0,26.335845947265625,0.8
26,build,build.02,grow,build.02_1,the child built the blocks ,42.0,61.24765396118164,0.8
27,build,build.03,include,build.03_1,the booklet built the reader ,42.0,54.16506576538086,0.8
28,shape,shape.01,shape,shape.01_1,the shape shaped the content ,42.0,46.20937728881836,0.8
29,cast,cast.01,"throw outward, throw (dice, fishing lines, shadows)",cast.01_1,the actor cast the magic ,42.0,42.24539566040039,0.8
