rater_id,pair_type,comparison,verbnet_class,verb,sense1,sense2,sentence1,sentence2,surprisal1,surprisal2,freq,rating
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,build,arrange,arrange.01: build (physical),arrange.01: build (physical),The baby arranged the blocks.,The florist arranged the flowers.,151.75505,141.81497,2289,58
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,build,arrange,arrange.01: build (physical),arrange.01: build (abstract),The baby arranged the blocks.,The secretary arranged the meeting.,151.75505,151.90834,2289,86
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,roll,bounce,"bounce.01: boing boing boing, (physical)","bounce.01: boing boing boing, (physical)",The player bounced the ball.,The mom bounced the toddler.,149.06245,114.08598,666,83
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,roll,bounce,"bounce.01: boing boing boing, (physical)","bounce.01: boing boing boing, (abstract)",The player bounced the ball.,The bank bounced the check.,149.06245,103.01076,666,100
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,hit,bump,bump.01: hit gently (physical),bump.01: hit gently (physical),The car bumped the curb.,The chair bumped the desk.,128.44438,147.25511,144,64
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,hit,bump,bump.01: hit gently (physical),bump.01: hit gently (abstract),The car bumped the curb.,The schedule bumped the meeting.,128.44438,145.88152,144,99
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,murder,butcher,butcher.01: cut up meat for sale (physical),butcher.01: cut up meat for sale (physical),The farmer butchered the goat.,The hunter butchered the prey.,118.51994,158.58693,250,14
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,murder,butcher,butcher.01: cut up meat for sale (physical),butcher.01: cut up meat for sale (abstract),The farmer butchered the goat.,The consultant butchered the project.,118.51994,125.28115,250,100
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,carry,carry,"carry.01: bring with, have (physical)","carry.01: bring with, have (physical)",The assistant carried the purse.,The truck carried the goods.,205.41194,157.27032,3332,81
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,carry,carry,"carry.01: bring with, have (physical)","carry.01: bring with, have (abstract)",The assistant carried the purse.,The actor carried the performance.,205.41194,149.3273,3332,100
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,tape,clip,"clip.01: to cut, cut off, or cut out (physical)","clip.01: to cut, cut off, or cut out (physical)",The gardener clipped the hedge.,The stylist clipped the ponytail.,116.95963,105.28686,555,8
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,tape,clip,"clip.01: to cut, cut off, or cut out (physical)","clip.01: to cut, cut off, or cut out (abstract)",The gardener clipped the hedge.,The editor clipped the movie.,116.95963,126.0255,555,100
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,send,deliver,"deliver.01: give, send","deliver.01: give, send",The mailman delivered the package.,The visitor delivered the gift.,122.013626,121.49274,2860,0
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,send,deliver,"deliver.01: give, send","deliver.101: give birth, assist in giving birth, giving birth or assisting in giving birth",The mailman delivered the package.,The midwife delivered the baby.,122.013626,131.60915,2860,91
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,create,design,design.01: design (physical),design.01: design (physical),The architect designed the building.,The artist designed the exhibit.,131.2433,129.90842,4026,1
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,create,design,design.01: design (physical),design.01: design (abstract),The architect designed the building.,The strategist designed the message.,131.2433,156.23557,4026,86
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,banish,discharge,"discharge.101: to release, release from a location (not stuff being released itself)","discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged the patient.,The army discharged the soldier.,148.20367,129.16982,2557,48
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,different,banish,discharge,"discharge.101: to release, release from a location (not stuff being released itself)","discharge.01: remove supply, as with electricity",The hospital discharged the patient.,The bank discharged the loan.,148.20367,121.00493,2557,100
c5fe3c3a-e0bb-469d-9199-9e8e48031248,target,same,encounter,discover,discover.01: find (out) (physical),discover.01: find (out) (physical),The scientist discovered the cure.,The explorer discovered the island.,143.99045,137.36026,3124,59
