verb,sense,sense_id,sentence_id,sentence,seed,surprisal
abuse,physical abuse,abuse1,abuse1_1,the man abused the child ,42.0,25.686767578125
abuse,emotional abuse,abuse2,abuse2_1,the teacher abused the childhoods ,42.0,54.21891784667969
abuse,sexual abuse,abuse3,abuse3_1,the man abused the youngster ,42.0,33.203330993652344
abuse,financial abuse,abuse4,abuse4_1,the government abused the publicsmoneytobuildtheroadstothiscitythroughouthecountryandthegovernmentwasorderedtopayback,42.0,96.71654510498047
abuse,substance abuse,abuse5,abuse5_1,the drug abused the brain ,42.0,44.411312103271484
abuse,power abuse,abuse6,abuse6_1,the presidential abused the power ,42.0,47.98810958862305
allow,to give permission or approval for something to happen or be done,allow1,allow1_1,the teacher allowed the student ,42.0,39.321346282958984
approve,to endorse or support something,approve1,approve1_1,the board approved the projected ,42.0,44.522483825683594
approve,to officially sanction or ratify something,approve2,approve2_1,the company approved the plans ,42.0,31.119956970214844
approve,to be satisfied with something,approve3,approve3_1,the committee approved the plan ,42.0,26.148534774780273
approve,to accept or ratify a decision or action,approve4,approve4_1,the bill approved the proposed ,42.0,46.60641860961914
beat,defeat,beat1,beat1_1,the team beat the opposition ,42.0,32.05787658691406
beat,conquer,beat2,beat2_1,the team beat the rival ,42.0,34.875579833984375
beat,overpower,beat3,beat3_1,the team beat the competition ,42.0,37.33942413330078
beat,exhaust,beat4,beat4_1,the road beat the managers ,42.0,38.347103118896484
beat,intimidate,beat5,beat5_1,the bully beat the younger ,42.0,41.93339538574219
beat,physically harm,beat6,beat6_1,the man beat the dog ,42.0,24.231937408447266
belt,fasten,belt1,belt1_1,the beltline belted the carpenter ,42.0,46.351051330566406
belt,strike,belt2,belt2_1,the boxer belted the opponent ,42.0,36.687931060791016
belt,surround,belt3,belt3_1,the city belted the island ,42.0,32.94209289550781
belt,win,belt4,belt4_1,the team belted the pennant ,42.0,25.161903381347656
belt,tighten,belt5,belt5_1,the belts belted the pants ,42.0,36.189353942871094
box,to pack or contain something in a box,box1,box1_1,the boxing boxed the chocolates ,42.0,48.886043548583984
break,to shatter or shake apart,break1,break1_1,the glass broke the momentary ,42.0,66.09934997558594
break,to cause to separate or divide,break2,break2_1,the ice broke the boat ,42.0,28.976591110229492
break,to interrupt or disrupt,break3,break3_1,the meeting broke the speaker ,42.0,78.22805786132812
break,to exhaust or deplete,break4,break4_1,the constant broke the budgeteddowntimeofourapplicationsoverthepastyearhasmadeusconsidertheoptionofpay,42.0,136.02725219726562
break,to change or alter,break5,break5_1,the lawmaker broke the billboardinglaw ,42.0,53.79435348510742
break,to violate or disobey,break6,break6_1,the law broke the treaty ,42.0,30.951568603515625
build,construct,build1,build1_1,the company built the bridge ,42.0,26.335845947265625
build,develop,build2,build2_1,the company built the marketing ,42.0,47.43033218383789
build,establish,build3,build3_1,the company built the plantation ,42.0,47.27467346191406
build,improve,build4,build4_1,the company built the software ,42.0,43.341163635253906
build,create,build5,build5_1,the company built the building ,43.0,40.02717590332031
burn,consume or destroy by fire,burn1,burn1_1,the house burned the otherday ,42.0,40.814422607421875
burn,cause to feel intense heat or pain,burn2,burn2_1,the sun burned the grasshopper ,42.0,34.19709396362305
burn,char or scorch the surface of something,burn3,burn3_1,the sun burned the leaves ,42.0,27.099594116210938
burn,use up or exhaust a resource,burn4,burn4_1,the company burned the last ,42.0,59.93222427368164
burn,"experience a strong emotion, such as anger or passion",burn5,burn5_1,the actress burned the audience ,42.0,35.33019256591797
burn,"move quickly and intensely, as if fueled by fire",burn6,burn6_1,the sun burned the desertscape ,42.0,42.195762634277344
burn,have a strong desire or craving,burn7,burn7_1,the woman burned the steak ,42.0,49.677268981933594
