sentence_pair_label,Nat_Typ_Sentence,sentence2,verb,sentence2_label,total_senses,trans_senses,trans_sense_defs,trans_levin_classes,pair,label,shared_levin_classes
arrange1,The baby arranged the blocks.,The florist arranged the flowers.,arrange,same,1,1,arrange.01: build;,"build,establish,put",build-shape,FILLER,build
arrange2,The baby arranged the blocks.,The secretary arranged the meeting.,arrange,different,1,1,arrange.01: build;,"build,establish,put",build-shape,FILLER,build
bounce1,The player bounced the ball.,The mom bounced the toddler.,bounce,same,1,1,"bounce.01: boing boing boing,;","roll,run,slide",drop-roll,FILLER,roll
bounce2,The player bounced the ball.,The bank bounced the check.,bounce,different,1,1,"bounce.01: boing boing boing,;","roll,run,slide",drop-roll,FILLER,roll
bump1,The car bumped the curb.,The chair bumped the desk.,bump,same,2,2,bump.01: hit gently; bump.02: move slightly;,"bump,hit",beat-slap,FILLER,hit
bump2,The car bumped the curb.,The schedule bumped the meeting.,bump,different,2,2,bump.01: hit gently; bump.02: move slightly;,"bump,hit",beat-slap,FILLER,hit
butcher1,The farmer butchered the goat.,The hunter butchered the prey.,butcher,same,1,1,butcher.01: cut up meat for sale;,"captain,murder",kill-murder,FILLER,murder
butcher2,The farmer butchered the goat.,The consultant butchered the project.,butcher,different,1,1,butcher.01: cut up meat for sale;,"captain,murder",kill-murder,FILLER,murder
carry1,The assistant carried the purse.,The truck carried the goods.,carry,same,1,1,"carry.01: bring with, have;","carry,cost,fit",push-shove,FILLER,carry
carry2,The assistant carried the purse.,The actor carried the performance.,carry,different,1,1,"carry.01: bring with, have;","carry,cost,fit",push-shove,FILLER,carry
clip1,The gardener clipped the hedge.,The stylist clipped the ponytail.,clip,same,2,2,"clip.01: to cut, cut off, or cut out; clip.03: hit very slightly on the edge;","braid,cut",belt-button,FILLER,tape
clip2,The gardener clipped the hedge.,The editor clipped the movie.,clip,different,2,2,"clip.01: to cut, cut off, or cut out; clip.03: hit very slightly on the edge;","braid,cut",belt-button,FILLER,tape
deliver1,The mailman delivered the package.,The visitor delivered the gift.,deliver,same,2,2,"deliver.01: give, send; deliver.101: give birth, assist in giving birth, giving birth or assisting in giving birth;","birth,send",post-mail,FILLER,send
deliver2,The mailman delivered the package.,The midwife delivered the baby.,deliver,different,2,2,"deliver.01: give, send; deliver.101: give birth, assist in giving birth, giving birth or assisting in giving birth;","birth,send",post-mail,FILLER,send
design1,The architect designed the building.,The artist designed the exhibit.,design,same,1,1,design.01: design;,create,draw-write,FILLER,create
design2,The architect designed the building.,The strategist designed the message.,design,different,1,1,design.01: design;,create,draw-write,FILLER,create
discharge1,The hospital discharged the patient.,The army discharged the soldier.,discharge,same,2,2,"discharge.01: remove supply, as with electricity; discharge.101: to release, release from a location (not stuff being released itself);","banish,remove",recall-remove,FILLER,banish
discharge2,The hospital discharged the patient.,The bank discharged the loan.,discharge,different,2,2,"discharge.01: remove supply, as with electricity; discharge.101: to release, release from a location (not stuff being released itself);","banish,remove",recall-remove,FILLER,banish
discover1,The scientist discovered the cure.,The explorer discovered the island.,discover,same,1,1,discover.01: find (out);,"conjecture,discover,sight",meet-encounter,FILLER,encounter
discover2,The scientist discovered the cure.,The wife discovered the affair.,discover,different,1,1,discover.01: find (out);,"conjecture,discover,sight",meet-encounter,FILLER,encounter
