,rater_id,sentence,rating,sense_id,sense,verb,typicality,naturalness,surprisal,sentence_id,coca_freq
0,1,The chef drove the limo.,37.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
1,2,The chef drove the limo.,35.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
2,3,The chef drove the limo.,3.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
3,4,The chef drove the limo.,16.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
4,5,The chef drove the limo.,51.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
5,6,The chef drove the limo.,100.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
6,7,The chef drove the limo.,20.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
7,8,The chef drove the limo.,32.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
8,9,The chef drove the limo.,30.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
9,10,The chef drove the limo.,40.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
10,11,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
11,12,The chef drove the limo.,18.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
12,13,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
13,14,The chef drove the limo.,50.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
14,15,The chef drove the limo.,4.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
15,17,The chef drove the limo.,42.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
16,18,The chef drove the limo.,20.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
17,19,The chef drove the limo.,59.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
18,20,The chef drove the limo.,14.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
19,21,The chef drove the limo.,55.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
20,22,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
21,23,The chef drove the limo.,22.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
22,24,The chef drove the limo.,39.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
23,26,The chef drove the limo.,14.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
24,27,The chef drove the limo.,28.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
25,28,The chef drove the limo.,21.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
26,29,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
27,30,The chef drove the limo.,30.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
28,31,The chef drove the limo.,18.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
29,32,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
30,33,The chef drove the limo.,67.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
