,rater_id,sentence,rating,sense_id,sense,verb,typicality,naturalness,surprisal,sentence_id,coca_freq
0,1,The baby arranged the something.,50.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
1,2,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
2,3,The baby arranged the something.,22.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
3,5,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
4,6,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
5,7,The baby arranged the something.,4.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
6,8,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
7,9,The baby arranged the something.,96.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
8,10,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
9,11,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
10,12,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
11,13,The baby arranged the something.,76.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
12,14,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
13,15,The baby arranged the something.,100.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
14,16,The baby arranged the something.,86.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
15,17,The baby arranged the something.,80.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
16,18,The baby arranged the something.,21.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
17,19,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
18,20,The baby arranged the something.,70.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
19,21,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
20,22,The baby arranged the something.,81.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
21,23,The baby arranged the something.,100.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
22,24,The baby arranged the something.,31.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
23,25,The baby arranged the something.,27.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
24,26,The baby arranged the something.,74.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
25,27,The baby arranged the something.,67.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
26,28,The baby arranged the something.,0.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
27,29,The baby arranged the something.,21.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
28,30,The baby arranged the something.,25.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
29,31,The baby arranged the something.,82.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
30,32,The baby arranged the something.,71.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
31,33,The baby arranged the something.,62.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
32,34,The baby arranged the something.,4.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
33,35,The baby arranged the something.,25.0,calibration,calibration,arrange,typical,unnatural,127.4743881225586,nat_calib_1,29108
