,verb,sense,sense_id,sentence_id,sentence,seed,surprisal_1,surprisal_4,surprisal_3,surprisal_2
0,abuse,physical abuse,abuse1,abuse1_2,The man abused the woman.,43.0,25.32795524597168,126.07703399658203,32.68909454345703,30.903987884521484
1,abuse,physical abuse,abuse1,abuse1_1,The man abused the child.,42.0,25.686767578125,127.5062026977539,32.82625198364258,30.957244873046875
2,abuse,physical abuse,abuse1,abuse1_7,The mother abused the children.,51.0,27.50893211364746,179.24200439453125,58.14068603515625,57.57249450683594
3,abuse,physical abuse,abuse1,abuse1_5,The wife abused the children.,47.0,29.69243431091309,162.4222412109375,56.094085693359375,77.28662872314453
4,abuse,emotional abuse,abuse2,abuse2_2,The mother abused the child.,43.0,27.178773880004883,156.6129150390625,33.112762451171875,31.774940490722656
5,abuse,emotional abuse,abuse2,abuse2_10,The father abused the child.,41.0,29.09574508666992,138.70985412597656,33.63641357421875,33.720489501953125
6,abuse,emotional abuse,abuse2,abuse2_3,The husband abused the wife.,45.0,29.11105728149414,157.08041381835938,49.300296783447266,34.18363952636719
7,abuse,emotional abuse,abuse2,abuse2_9,The mother abused the baby.,54.0,29.774263381958008,177.92184448242188,34.55072021484375,34.32359313964844
8,abuse,sexual abuse,abuse3,abuse3_10,The teacher abused the student.,41.0,25.3150691986084,170.63775634765625,31.580814361572266,30.75838279724121
9,abuse,sexual abuse,abuse3,abuse3_2,The man abused the girl.,44.0,25.6235580444336,130.13829040527344,34.70329284667969,31.55795669555664
10,abuse,sexual abuse,abuse3,abuse3_6,The priest abused the boy.,48.0,26.230937957763672,184.489990234375,36.51567459106445,31.482650756835938
11,abuse,sexual abuse,abuse3,abuse3_4,The defendant abused the children.,46.0,30.55305290222168,226.44973754882812,54.40864562988281,51.3709602355957
12,abuse,financial abuse,abuse4,abuse4_9,The company abused the funds.,50.0,30.739864349365234,171.92214965820312,74.15257263183594,37.28758239746094
13,abuse,financial abuse,abuse4,abuse4_7,The government abused the taxpayer.,48.0,45.09206771850586,173.67955017089844,65.15924072265625,64.13761138916016
14,abuse,financial abuse,abuse4,abuse4_2,The company abused the taxpayers.,43.0,46.80509185791016,202.67213439941406,76.15269470214844,39.00975036621094
15,abuse,financial abuse,abuse4,abuse4_8,The state abused the financial.,49.0,49.7454719543457,238.57008361816406,132.18174743652344,80.63275146484375
16,abuse,substance abuse,abuse5,abuse5_8,The boy abused the substance.,49.0,33.63456726074219,239.3527374267578,83.03407287597656,54.840965270996094
17,abuse,substance abuse,abuse5,abuse5_4,The person abused the prescription.,45.0,35.18525314331055,232.44729614257812,68.22123718261719,58.02534103393555
18,abuse,substance abuse,abuse5,abuse5_3,The drug abused the man.,44.0,43.80307388305664,146.10107421875,77.6357192993164,47.875431060791016
