verb,sentence,zscore,order,block,id
arranged,The baby arranged the something.,-0.228201736234605,1,calibration,nat_calib_1
split,The cow split the check.,0.6414577146125796,8,calibration,nat_calib_8
bounced,The player bounced the bottle.,0.8662613778260818,15,calibration,nat_calib_15
noticed,The stylist noticed the abruptly.,-0.869345985748864,16,calibration,nat_calib_16
drove,The chauffeur drove the carefully.,-0.9270867044821652,26,calibration,nat_calib_26
shrunk,The washer shrunk the laundry.,1.048023377752974,36,calibration,nat_calib_36
bumped,The car bumped the curb.,1.062881966052374,41,calibration,nat_calib_41
clipped,The gardener clipped the was.,-1.069118270421521,44,calibration,nat_calib_44
arranged,The time arranged the blocks.,0.1493364591708625,0,experiment,nat_calib_0
scratched,The dog scratched the war.,0.2628772782455622,2,experiment,nat_calib_2
discovered,The someone discovered the theorem.,-0.337085277078801,3,experiment,nat_calib_3
discharged,The hospital discharged the candle.,0.5247957230689163,4,experiment,nat_calib_4
scratched,The anybody scratched the itch.,-0.6062028556453272,5,experiment,nat_calib_5
found,The bee found the nothing.,-0.6260210392008099,6,experiment,nat_calib_6
mounted,The rider mounted the pen.,0.6323503348768734,7,experiment,nat_calib_7
designed,The architect designed the anything.,-0.6560867549574203,9,experiment,nat_calib_9
delivered,The mailman delivered the fire.,0.6653146190766592,10,experiment,nat_calib_10
smashed,The strawberry smashed the potatoes.,0.6676283641569725,11,experiment,nat_calib_11
butchered,The farmer butchered the it.,-0.6903409445639662,12,experiment,nat_calib_12
ordered,The infant ordered the wine.,0.694016620609653,13,experiment,nat_calib_13
shrunk,The sad shrunk the laundry.,-0.8155283851810279,14,experiment,nat_calib_14
dismissed,The criminal dismissed the worker.,0.8831009418918099,17,experiment,nat_calib_17
ordered,The diner ordered the expensive.,-0.8844934449918948,18,experiment,nat_calib_18
split,The couple split the evenly.,-0.8873852590153039,19,experiment,nat_calib_19
bounced,The loudly bounced the bottle.,-0.8902203806276486,20,experiment,nat_calib_20
designed,The ballerina designed the building.,0.9038250920244696,21,experiment,nat_calib_21
secured,The we secured the location.,-0.9036189323959304,22,experiment,nat_calib_22
secured,The guards secured the spider.,0.9119135046864388,23,experiment,nat_calib_23
smashed,The cook smashed the them.,-0.9208911809252338,24,experiment,nat_calib_24
discovered,The scientist discovered the wall.,0.9241865003364824,25,experiment,nat_calib_25
delivered,The they delivered the fire.,-0.9283122601708071,27,experiment,nat_calib_27
butchered,The lawyer butchered the goat.,0.9305585251110162,28,experiment,nat_calib_28
poisoned,The assassin poisoned the lethal.,-0.932586721332388,29,experiment,nat_calib_29
drove,The chef drove the limo.,0.9628450258905262,30,experiment,nat_calib_30
mounted,The up mounted the horse.,-0.9616117598080204,31,experiment,nat_calib_31
poisoned,The friend poisoned the king.,1.0071602871636955,32,experiment,nat_calib_32
threw,The athlete threw the while.,-1.021420550255958,33,experiment,nat_calib_33
clipped,The gardener clipped the hedge.,1.0442807654045472,34,experiment,nat_calib_34
lined,The butterfly lined the with.,-1.045694525675074,35,experiment,nat_calib_35
permitted,The cup permitted the ever.,-1.050682442305397,37,experiment,nat_calib_37
recognized,The flashlight recognized the immediately.,-1.0558652132025417,38,experiment,nat_calib_38
threw,The athlete threw the javelin.,1.060722442111855,39,experiment,nat_calib_39
drained,The housekeeper drained the tub.,1.061323573437434,40,experiment,nat_calib_40
slammed,The child slammed the door.,1.0642018576143544,42,experiment,nat_calib_42
mocked,The cat mocked the for.,-1.065937518466523,43,experiment,nat_calib_43
lined,The tailor lined the coat.,1.081788251924299,45,experiment,nat_calib_45
noticed,The stylist noticed the wrinkle.,1.0939468064337174,46,experiment,nat_calib_46
discharged,The hospital discharged the patient.,1.094021116606945,47,experiment,nat_calib_47
permitted,The college permitted the event.,1.1035979630957942,48,experiment,nat_calib_48
recognized,The botanist recognized the mushroom.,1.1039968532597515,49,experiment,nat_calib_49
