,rater_id,sentence,rating,sense_id,sense,verb,typicality,naturalness,surprisal,sentence_id,coca_freq
0,1,The chef drove the limo.,26.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
1,2,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
2,3,The chef drove the limo.,20.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
3,4,The chef drove the limo.,27.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
4,5,The chef drove the limo.,15.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
5,6,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
6,7,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
7,8,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
8,9,The chef drove the limo.,50.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
9,10,The chef drove the limo.,20.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
10,11,The chef drove the limo.,13.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
11,12,The chef drove the limo.,15.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
12,13,The chef drove the limo.,21.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
13,14,The chef drove the limo.,22.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
14,15,The chef drove the limo.,10.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
15,16,The chef drove the limo.,23.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
16,17,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
17,18,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
18,19,The chef drove the limo.,29.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
19,20,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
20,21,The chef drove the limo.,60.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
21,22,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
22,23,The chef drove the limo.,0.0,calibration,calibration,drive,atypical,natural,83.20745849609375,typ_calib_3,194360
