,Sentence1,Sentence2,Pair_ID,Sense1,Sense2,Verb,PairType
0,The man abused the dog.,The company abused the system.,abuse0,"mistreat a person or animal, often repeatedly, with violence or with cruelty",use (something) to bad effect or for a bad purpose,abuse,different
1,The man abused the dog.,The man abused the child.,abuse1,"mistreat a person or animal, often repeatedly, with violence or with cruelty",use offending language,abuse,different
2,The company abused the system.,The man abused the child.,abuse2,use (something) to bad effect or for a bad purpose,use offending language,abuse,different
3,The man abused the dog.,The man abused the horse.,abuse3,"mistreat a person or animal, often repeatedly, with violence or with cruelty","mistreat a person or animal, often repeatedly, with violence or with cruelty",abuse,same
4,The government abused the power.,The company abused the system.,abuse4,use (something) to bad effect or for a bad purpose,use (something) to bad effect or for a bad purpose,abuse,same
5,The man abused the woman.,The man abused the child.,abuse5,use offending language,use offending language,abuse,same
6,The government allowed the protests.,The company allowed the workers.,allow0,let,allocate,allow,different
7,The government allowed the protests.,The president allowed the allegation.,allow1,let,admit truth of proposition,allow,different
8,The company allowed the workers.,The president allowed the allegation.,allow2,allocate,admit truth of proposition,allow,different
9,The government allowed the protests.,The teacher allowed the student.,allow3,let,let,allow,same
10,The company allowed the workers.,The government allowed the company.,allow4,allocate,allocate,allow,same
11,The president allowed the allegation.,The defendant allowed the possibility.,allow5,admit truth of proposition,admit truth of proposition,allow,same
12,The board approved the proposal.,The board approved the budget.,approve0,assent to,assent to,approve,same
13,The police beat the man.,The musician beat the drums.,beat0,strike,(cause) pulsating motion that often makes sound,beat,different
14,The police beat the man.,The team beat the opponent.,beat1,strike,win over some competitor,beat,different
15,The musician beat the drums.,The team beat the opponent.,beat2,(cause) pulsating motion that often makes sound,win over some competitor,beat,different
16,The boy beat the girl.,The police beat the man.,beat3,strike,strike,beat,same
17,The waves beat the shore.,The musician beat the drums.,beat4,(cause) pulsating motion that often makes sound,(cause) pulsating motion that often makes sound,beat,same
18,The team beat the opponent.,The team beat the rivals.,beat5,win over some competitor,win over some competitor,beat,same
19,The choir belted the anthem.,The husband belted the wife.,belt0,sing loudly and forcefully,"deliver a blow to, possibly with a belt",belt,different
20,The choir belted the anthem.,The man belted the woman.,belt1,sing loudly and forcefully,fasten with a belt,belt,different
21,The husband belted the wife.,The man belted the woman.,belt2,"deliver a blow to, possibly with a belt",fasten with a belt,belt,different
22,The choir belted the anthem.,The choir belted the song.,belt3,sing loudly and forcefully,sing loudly and forcefully,belt,same
23,The boxer belted the referee.,The husband belted the wife.,belt4,"deliver a blow to, possibly with a belt","deliver a blow to, possibly with a belt",belt,same
24,The man belted the woman.,The man belted the saddle.,belt5,fasten with a belt,fasten with a belt,belt,same
25,The police boxed the evidence.,The boxer boxed the ringleader.,box0,"to store in a box, put in a box to store","enclosing (/being enclosed), forming an enclosure",box,different
26,The police boxed the evidence.,The boxer boxed the heavyweight.,box1,"to store in a box, put in a box to store","fight, boxing style",box,different
27,The boxer boxed the ringleader.,The boxer boxed the heavyweight.,box2,"enclosing (/being enclosed), forming an enclosure","fight, boxing style",box,different
28,The police boxed the evidence.,The children boxed the cookies.,box3,"to store in a box, put in a box to store","to store in a box, put in a box to store",box,same
29,The boxer boxed the boxinger.,The boxer boxed the ringleader.,box4,"enclosing (/being enclosed), forming an enclosure","enclosing (/being enclosed), forming an enclosure",box,same
30,The boxer boxed the opponent.,The boxer boxed the heavyweight.,box5,"fight, boxing style","fight, boxing style",box,same
31,The rock broke the glass.,The breakdowns broke the company.,break0,"break, cause to not be whole","happen, come to light, onset, beginning",break,different
32,The rock broke the glass.,The glass broke the bottle.,break1,"break, cause to not be whole",separate one entity from another,break,different
33,The rock broke the glass.,The criminal broke the law.,break2,"break, cause to not be whole","violate (the law, an oath, trust, etc)",break,different
34,The breakdowns broke the company.,The glass broke the bottle.,break3,"happen, come to light, onset, beginning",separate one entity from another,break,different
35,The breakdowns broke the company.,The criminal broke the law.,break4,"happen, come to light, onset, beginning","violate (the law, an oath, trust, etc)",break,different
36,The glass broke the bottle.,The criminal broke the law.,break5,separate one entity from another,"violate (the law, an oath, trust, etc)",break,different
37,The rock broke the glass.,The wind broke the windowpane.,break6,"break, cause to not be whole","break, cause to not be whole",break,same
38,The scandal broke the otherday.,The breakdowns broke the company.,break7,"happen, come to light, onset, beginning","happen, come to light, onset, beginning",break,same
39,The glass broke the bottle.,The glass broke the windowpane.,break8,separate one entity from another,separate one entity from another,break,same
40,The criminal broke the law.,The president broke the promise.,break9,"violate (the law, an oath, trust, etc)","violate (the law, an oath, trust, etc)",break,same
41,The engineers built the bridge.,The rosebushes built the trellis.,build0,construct,grow,build,different
42,The engineers built the bridge.,The software built the results.,build1,construct,include,build,different
43,The rosebushes built the trellis.,The software built the results.,build2,grow,include,build,different
44,The engineers built the bridge.,The company built the bridge.,build3,construct,construct,build,same
45,The forest built the pinecone.,The rosebushes built the trellis.,build4,grow,grow,build,same
46,The software built the results.,The booklet built the reader.,build5,include,include,build,same
47,The fire burned the house.,The fire burned the building.,burn0,(cause to) be on fire,(cause to) be on fire,burn,same
48,The children buttoned the buttons.,The children buttoned the coats.,button0,fasten the buttons on,fasten the buttons on,button,same
49,The magician cast the spell.,The director cast the actresses.,cast0,"throw outward, throw (dice, fishing lines, shadows)","name, assign a role",cast,different
50,The magician cast the spell.,The sculptor cast the statue.,cast1,"throw outward, throw (dice, fishing lines, shadows)",make 3d reproductions from a mold,cast,different
51,The magician cast the spell.,The doctors cast the brokenbone.,cast2,"throw outward, throw (dice, fishing lines, shadows)",bandage in plaster,cast,different
52,The director cast the actresses.,The sculptor cast the statue.,cast3,"name, assign a role",make 3d reproductions from a mold,cast,different
53,The director cast the actresses.,The doctors cast the brokenbone.,cast4,"name, assign a role",bandage in plaster,cast,different
54,The sculptor cast the statue.,The doctors cast the brokenbone.,cast5,make 3d reproductions from a mold,bandage in plaster,cast,different
55,The children cast the dice.,The magician cast the spell.,cast6,"throw outward, throw (dice, fishing lines, shadows)","throw outward, throw (dice, fishing lines, shadows)",cast,same
56,The director cast the actor.,The director cast the actresses.,cast7,"name, assign a role","name, assign a role",cast,same
57,The sculptor cast the bronze.,The sculptor cast the statue.,cast8,make 3d reproductions from a mold,make 3d reproductions from a mold,cast,same
58,The doctor cast the brokenarm.,The doctors cast the brokenbone.,cast9,bandage in plaster,bandage in plaster,cast,same
59,The boy caught the ball.,The police caught the suspects.,catch0,get,"come upon, find",catch,different
60,The boy caught the ball.,The police caught the burglar.,catch1,get,trap,catch,different
61,The police caught the suspects.,The police caught the burglar.,catch2,"come upon, find",trap,catch,different
62,The boy caught the ball.,The man caught the bus.,catch3,get,get,catch,same
63,The police caught the criminal.,The police caught the suspects.,catch4,"come upon, find","come upon, find",catch,same
64,The police caught the thief.,The police caught the burglar.,catch5,trap,trap,catch,same
65,The waves chipped the boat.,The ice chipped the windshields.,chip0,break off small pieces,break off small pieces,chip,same
66,The knife chopped the tomatoes.,The wind chopped the waves.,chop0,"cut up, (attempt to) cut with a chopping motion","cut up, (attempt to) cut with a chopping motion",chop,same
67,The pitcher chucked the ball.,The man chucked the dice.,chuck0,"to throw, give up","to throw, give up",chuck,same
68,The child cleaned the room.,The housekeeper cleaned the bathroom.,clean0,to free from dirt,to free from dirt,clean,same
69,The airplane cleared the runway.,The judge cleared the case.,clear0,"clean, make clear or open","approve, permit",clear,different
70,The airplane cleared the runway.,The boat cleared the reefs.,clear1,"clean, make clear or open","escape, avoid, get past or through",clear,different
71,The judge cleared the case.,The boat cleared the reefs.,clear2,"approve, permit","escape, avoid, get past or through",clear,different
72,The police cleared the suspects.,The airplane cleared the runway.,clear3,"clean, make clear or open","clean, make clear or open",clear,same
73,The president cleared the bill.,The judge cleared the case.,clear4,"approve, permit","approve, permit",clear,same
74,The boat cleared the reefs.,The car cleared the intersection.,clear5,"escape, avoid, get past or through","escape, avoid, get past or through",clear,same
75,The paint coated the walls.,The paint coated the wall.,coat0,"cover, apply something to a surface","cover, apply something to a surface",coat,same
76,The manager covered the nightshift.,The paint covered the wall.,cover0,"has responsibility for, handles, insures, accounts for","smear, put over, spreading across",cover,different
77,The manager covered the nightshift.,The media covered the trial.,cover1,"has responsibility for, handles, insures, accounts for",broadcast,cover,different
78,The paint covered the wall.,The media covered the trial.,cover2,"smear, put over, spreading across",broadcast,cover,different
79,The manager covered the inventory.,The manager covered the nightshift.,cover3,"has responsibility for, handles, insures, accounts for","has responsibility for, handles, insures, accounts for",cover,same
80,The paint covered the wall.,The paint covered the wallpaper.,cover4,"smear, put over, spreading across","smear, put over, spreading across",cover,same
81,The media covered the trial.,The newscast covered the earthquake.,cover5,broadcast,broadcast,cover,same
82,The car crashed the guardrail.,The man crashed the party.,crash0,"to break, undergo damage, possibly producing a characteristic sound, possibly resulting in a sound","to enter uninvited, invite oneself in",crash,different
83,The car crashed the guardrail.,The student crashed the meeting.,crash1,"to break, undergo damage, possibly producing a characteristic sound, possibly resulting in a sound","fall asleep heavily, maybe someplace other than home",crash,different
